description,count,status,uid,diagnostic,objective
Have at least a specific minimum of commits in repository,5,true,nS+BKKonuI3r3x6z9BOXLw==,,
Have at least a specific minimum of commits in repository,5,true,etStjSr28Qe6nwdZLHSAew==,,meet minimal
Have at least a specific minimum of commits in repository,5,true,mZPZSbWInH7C7NJAM+UA3w==,,
Have at least a specific minimum of commits in the GitHub repository,10,false,b6vKWo8XetQV73efl+7ZIA==,Found 9 commit(s) in the Git repository,meet minimal
Have at least a specific minimum of commits in the GitHub repository,10,true,Rc9Hc3YcbAwPRaxiorY2XA==,,meet minimal
Have at least a specific minimum of commits in repository,10,false,cZdEgIWQoeIofDdrYH/Afg==,Found 8 commit(s) in the Git repository,
Have at least a specific minimum of commits in the GitHub repository,10,false,33x/IdA+veSNbwwV+sZAeg==,Found 8 commit(s) in the Git repository,meet minimal
Have at least a specific minimum of commits in the GitHub repository,10,true,wC69ew7NwVXVb1dj2hr23w==,,meet minimal
Have at least a specific minimum of commits in repository,5,true,jXWJ09jdaXPRqtmSdda6IA==,,
Have at least a specific minimum of commits in the GitHub repository,10,true,2zdwxa4w1RzMTPppmcTgrA==,,meet minimal
Have at least a specific minimum of commits in repository,5,true,ZoVZb/cfVDFEZusZmwHoZw==,,
Have at least a specific minimum of commits in the GitHub repository,10,false,p5K7+j/WnpdDSeiVoM6iFA==,Found 7 commit(s) in the Git repository,meet minimal
Have at least a specific minimum of commits in repository,5,true,inxu6J85kI1o0GMSeSb7NQ==,,meet minimal
Have at least a specific minimum of commits in repository,5,true,e3xQoIBn3JNKWAA3CFsBDQ==,,
