description,count,exact,status,uid,path,diagnostic,objective
Write a minimum number of meaningful words in the reflection,500,false,true,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,,reflection
Write a minimum number of meaningful words in the reflection,500,false,false,cZdEgIWQoeIofDdrYH/Afg==,,Found 279 word(s) in total of file reflection.md,
Write a minimum number of meaningful words in the reflection,500,false,true,p5K7+j/WnpdDSeiVoM6iFA==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words (100) in the reflection,100,false,true,nS+BKKonuI3r3x6z9BOXLw==,writing/reflection.md,,
Write a minimum number of meaningful words in the reflection,500,false,true,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,Rc9Hc3YcbAwPRaxiorY2XA==,writing/reflection.md,,reflection
Write a minimum number of meaningful words in the reflection,500,false,true,b6vKWo8XetQV73efl+7ZIA==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,b6vKWo8XetQV73efl+7ZIA==,writing/reflection.md,,reflection
Write a minimum number of meaningful words (100) in the reflection,100,false,true,mZPZSbWInH7C7NJAM+UA3w==,,,
Write a minimum number of meaningful words in the reflection,500,false,true,jXWJ09jdaXPRqtmSdda6IA==,writing/review.md,,
Write a minimum number of meaningful words in the reflection,500,false,true,etStjSr28Qe6nwdZLHSAew==,writing/review.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,inxu6J85kI1o0GMSeSb7NQ==,writing/review.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,ZoVZb/cfVDFEZusZmwHoZw==,,,
Write a minimum number of meaningful words in the reflection,500,false,true,2zdwxa4w1RzMTPppmcTgrA==,writing/reflection.md,,reflection
Write a minimum number of meaningful words in the reflection,500,false,true,wC69ew7NwVXVb1dj2hr23w==,writing/reflection.md,,reflection
Write a minimum number of meaningful words in the reflection,500,false,true,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md,,meet minimal
Write a minimum number of meaningful words in the reflection,500,false,true,33x/IdA+veSNbwwV+sZAeg==,writing/reflection.md,,reflection
Write a minimum number of meaningful words in the reflection,500,false,true,e3xQoIBn3JNKWAA3CFsBDQ==,,,
